Year,1,2,3,4,5,6,7,8,9,10,11,12
383,29,30,30,29,29,30,29,29,30,29,30,30
384,29,30,30,29,30,29,30,29,29,30,29,30
385,30,29,30,29,30,30,29,29,30,29,30,29
386,30,29,30,29,30,30,29,30,29,30,30,29
387,29,30,29,30,29,30,29,30,30,30,29,30
388,29,30,29,29,30,29,29,30,30,30,30,29
389,30,29,30,29,29,29,30,29,30,30,30,29
390,30,30,29,30,29,29,29,30,29,30,30,29
391,30,30,29,30,30,29,29,29,30,30,29,30
392,29,30,29,30,30,29,30,29,30,29,30,29
393,29,30,30,29,30,29,30,30,29,30,29,30
394,29,29,30,29,30,30,29,30,30,29,30,29
395,30,29,29,30,29,30,29,30,30,30,29,30
396,29,30,29,29,30,29,30,29,30,30,29,30
397,30,29,30,29,30,29,29,30,29,30,29,30
398,30,29,30,30,29,30,29,29,30,29,30,29
399,30,29,30,30,29,30,30,29,29,30,29,30
400,29,29,30,30,29,30,30,29,30,29,30,29
401,29,30,29,30,29,30,30,30,29,30,29,30
402,29,29,30,29,30,29,30,30,29,30,30,29
403,30,29,29,30,29,30,29,30,29,30,30,29
404,30,29,30,29,30,29,30,29,30,29,30,29
405,30,29,30,30,29,30,29,30,29,30,29,29
406,30,29,30,30,30,30,29,30,29,29,30,29
407,29,30,29,30,30,30,30,29,30,29,29,29
408,30,29,29,30,30,30,30,29,30,29,30,29
409,29,30,29,30,29,30,30,29,30,30,29,30
410,29,29,30,29,30,29,30,29,30,30,30,29
411,30,29,29,30,30,29,29,30,29,30,30,29
412,30,29,30,30,29,30,29,29,30,29,30,29
413,30,29,30,30,30,29,30,29,29,30,29,30
414,29,29,30,30,30,29,30,30,29,29,30,29
415,30,29,29,30,30,30,29,30,29,30,29,30
416,29,29,30,29,30,30,29,30,30,29,30,29
417,30,29,30,29,29,30,29,30,29,30,30,30
418,29,30,29,30,29,30,29,29,30,29,30,30
419,30,29,30,29,30,29,29,30,29,29,30,30
420,30,29,30,30,29,30,29,29,30,29,29,30
421,30,29,30,30,29,30,30,29,29,30,29,30
422,29,30,29,30,29,30,30,29,30,29,30,29
423,30,29,30,29,30,29,30,29,30,29,30,30
424,29,30,29,30,29,29,30,29,30,29,30,30
425,30,29,30,29,30,29,29,29,30,29,30,30
426,30,30,29,30,29,30,29,29,29,30,29,30
427,30,30,30,29,30,29,29,30,29,29,30,30
428,29,30,30,29,30,30,29,29,30,29,30,29
429,30,29,30,29,30,30,29,30,29,30,29,30
430,29,30,29,30,29,30,29,30,30,29,30,30
431,29,29,30,29,29,30,30,29,30,29,30,30
432,30,29,29,30,29,30,29,29,30,29,30,30
433,30,29,30,29,30,29,30,29,29,30,29,30
434,30,30,29,30,29,30,29,30,29,29,30,29
435,30,30,29,30,30,29,30,29,30,29,29,30
436,29,30,29,30,30,29,30,30,29,30,29,29
437,30,29,30,29,29,30,30,30,30,29,30,29
438,30,29,29,29,30,29,30,30,30,29,30,30
439,29,29,30,29,29,30,29,30,30,29,30,30
440,29,30,29,30,29,29,30,29,30,29,30,30
441,29,30,30,29,29,30,30,29,29,30,29,30
442,29,30,30,29,30,29,30,30,29,30,29,29
443,30,29,30,29,30,30,30,29,30,29,30,29
444,29,29,30,29,30,30,30,29,30,30,29,30
445,29,29,29,30,29,30,30,29,30,30,30,29
446,30,29,29,29,30,29,30,30,29,30,30,29
447,30,29,30,29,29,30,30,29,29,30,30,29
448,30,30,29,30,29,30,29,30,29,29,30,29
